label,short_name,strain,pFE,pFA,media,condition,measured_OD,dilution_factor,OD,use
AF-23-g25,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.312,10,3.12,TRUE
AF-23-g26,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.441,10,4.41,TRUE
AF-23-g27,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.48,10,4.8,TRUE
AF-23-g28,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.307,10,3.07,TRUE
AF-23-g29,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.477,10,4.77,TRUE
AF-23-g30,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.392,10,3.92,TRUE
AF-23-g31,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.379,10,3.79,TRUE
AF-23-g32,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.356,10,3.56,TRUE
AF-23-g33,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.341,10,3.41,TRUE
AF-23-g34,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.255,10,2.55,TRUE
AF-23-g35,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.28,10,2.8,TRUE
AF-23-g36,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.467,10,4.67,TRUE
AF-23-g37,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.325,10,3.25,TRUE
AF-23-g38,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.41,10,4.1,TRUE
AF-23-g39,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.442,10,4.42,TRUE
AF-23-g40,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.36,10,3.6,TRUE
AF-23-g41,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.433,10,4.33,TRUE
AF-23-g42,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.374,10,3.74,TRUE
AF-23-g43,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.645,10,6.45,TRUE
AF-23-g44,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.413,10,4.13,TRUE
AF-23-g45,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.372,10,3.72,TRUE
AF-23-g46,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.441,10,4.41,TRUE
AF-23-g47,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.334,10,3.34,TRUE
AF-23-g48,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.389,10,3.89,TRUE
AF-23-g49,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.002,10,0.02,TRUE
AF-23-g50,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0,10,0,TRUE
AF-23-g51,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0,10,0,TRUE
AF-23-g52,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0,10,0,TRUE
AF-23-g53,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.02,10,0.2,TRUE
AF-23-g54,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0,10,0,TRUE
AF-23-g55,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0,10,0,TRUE
AF-23-g56,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0,10,0,TRUE
AF-23-g1,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,ambient,0.488,10,4.88,TRUE
AF-23-g2,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,ambient,0.364,10,3.64,TRUE
AF-23-g3,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,ambient,0.385,10,3.85,TRUE
AF-23-g4,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,ambient,0.435,10,4.35,TRUE
AF-23-g5,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g6,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g7,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g8,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g9,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g10,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g11,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g12,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g13,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,ambient,0.139,10,1.39,TRUE
AF-23-g14,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g15,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,ambient,0.314,10,3.14,TRUE
AF-23-g16,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g17,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0.448,10,4.48,TRUE
AF-23-g18,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0.403,10,4.03,TRUE
AF-23-g19,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0.321,10,3.21,TRUE
AF-23-g20,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0.371,10,3.71,TRUE
AF-23-g21,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0.001,10,0.01,TRUE
AF-23-g22,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g23,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g24,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g25,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g26,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g27,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g28,cbbL Y72R,CCMB1,pCB' cbbL Y72R,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g29,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g30,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g31,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g32,csosCA C173S,CCMB1,pCB' csosCA C173S,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g33,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g34,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g35,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g36,dcsos4AB,CCMB1,pCB' dcsos4AB,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g37,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g38,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g39,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g40,DabA1-,CCMB1,pCB',pCCM' DabA1-,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g41,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,ambient,0.491,10,4.91,TRUE
AF-23-g42,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,ambient,0.415,10,4.15,TRUE
AF-23-g43,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,ambient,0.503,10,5.03,TRUE
AF-23-g44,cbbQ-,CCMB1,pCB',pCCM' cbbQ-,m9 gly 1/2 cm aTc 100 nm,ambient,0.475,10,4.75,TRUE
AF-23-g45,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,ambient,0.028,10,0.28,TRUE
AF-23-g46,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,ambient,0.062,10,0.62,TRUE
AF-23-g47,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,ambient,0.014,10,0.14,TRUE
AF-23-g48,dacRAF,CCMB1,pCB',pCCM' dacRAF,m9 gly 1/2 cm aTc 100 nm,ambient,0.515,10,5.15,TRUE
AF-23-g49,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g50,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g51,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g52,p1A K194M/AGFP,CCMB1,p1A cbbL K194M,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g53,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g54,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g55,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
AF-23-g56,full CCM K194M,CCMB1,pCB' K194M,pCCM',m9 gly 1/2 cm aTc 100 nm,ambient,0,10,0,TRUE
